cancer_type,protein,mean_in,mean_out,fold_change,p_value
Colorectal,GRPEL1,0.0,0.374,-0.374,0.8001960779891761
Colorectal,TOMM20,0.0,0.368,-0.368,0.8001960779891761
Colorectal,SNAP29,0.0,0.391,-0.391,0.8001960779891761
Patient plasma,MTX1,0.0,0.297,-0.297,0.8004730127224722
Colorectal,DNM1L,16.498,10.911,5.587,0.8025504222211645
Pancreatic,CASP3,3.053,2.719,0.333,0.8056643934705237
Pancreatic,STOML2,0.66,0.855,-0.195,0.8070675440623551
Patient plasma,HSPE1,3.255,4.341,-1.086,0.8090592738177967
Normal/Control,TRAP1,12.436,13.755,-1.319,0.809168406208711
Colorectal,ARMC10,0.0,0.343,-0.343,0.8142535566244404
Colorectal,TOMM34,0.0,0.352,-0.352,0.8142535566244404
Normal/Control,SLC25A23,0.0,0.049,-0.049,0.8161736281777575
Normal/Control,SPIRE1,0.0,0.049,-0.049,0.8161736281777575
Normal/Control,METAP1D,0.0,0.054,-0.054,0.8161736281777575
Normal/Control,AGK,0.0,0.051,-0.051,0.8161736281777575
Normal/Control,TIMM9,0.0,0.049,-0.049,0.8161736281777575
Normal/Control,TOMM22,0.0,0.05,-0.05,0.8161736281777575
Normal/Control,NBR1,0.0,0.058,-0.058,0.8161736281777575
Normal/Control,MIPEP,0.0,0.045,-0.045,0.8161736281777575
Patient plasma,SLC25A5,4.597,6.004,-1.407,0.8175017094907289
Patient plasma,TIMM8A,0.0,0.254,-0.254,0.8193479376548582
